"connection_name","field_type","project","model","explore","explore_label","view","view_label","name","hidden","label","label_short","description","sql","ftype","value_format","source"
"snowlooker","measures","thelook_events","thelook","cohorts","Cohort Data Tool","cohort_size","Cohort","cohort_size.cohort_size","False","Cohort Cohort Size","Cohort Size","None","${TABLE}.cohort_size ","sum","None","98_cohort_data_tool.view.lkml"
"snowlooker","measures","thelook_events","thelook","cohorts","Cohort Data Tool","cohort_size","Cohort","cohort_size.metric","False","Cohort Metric","Metric","Use in conjuction with the Metric Picker","CASE          WHEN {% parameter metric_filter %} = 'User Retention' THEN trunc(${percent_user_retention})          WHEN {% parameter metric_filter %} = 'Average Orders per User' THEN round(${average_orders_per_user},2)          WHEN {% parameter metric_filter %} = 'Average Spend per User' THEN trunc(${average_spend_per_user})          ELSE NULL        END ","number","None","98_cohort_data_tool.view.lkml"
"snowlooker","measures","thelook_events","thelook","cohorts","Cohort Data Tool","cohort_size","Order Items","cohort_size.average_orders_per_user","False","Order Items Average Orders per User","Average Orders per User","None","1.0 * ${order_items.order_count} / NULLIF(${users.count},0) ","number","#,##0.00","98_cohort_data_tool.view.lkml"
"snowlooker","measures","thelook_events","thelook","cohorts","Cohort Data Tool","cohort_size","Order Items","cohort_size.average_spend_per_user","False","Order Items Average Spend per User","Average Spend per User","None","1.0 * ${order_items.total_sale_price} / NULLIF(${users.count},0) ","number","$#,##0.00","98_cohort_data_tool.view.lkml"
"snowlooker","measures","thelook_events","thelook","cohorts","Cohort Data Tool","order_items","Order Items","order_items.total_sale_price","False","Order Items Total Sale Price","Total Sale Price","None","${sale_price} ","sum","$#,##0.00","98_cohort_data_tool.view.lkml"
"snowlooker","measures","thelook_events","thelook","cohorts","Cohort Data Tool","users","Users","users.count","False","Users Count","Count","None","users.id ","count_distinct","None","02_users.view.lkml"
"snowlooker","measures","thelook_events","thelook","cohorts","Cohort Data Tool","cohort_size","Users","cohort_size.percent_user_retention","False","Users Percent User Retention","Percent User Retention","number of active users / number of users in the cohort (use with months since signup dimension)","round(100.0 * ${users.count} / nullif(${cohort_size},0),2) ","number","0.00\%","98_cohort_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","cohorts","Cohort Data Tool","cohort_size","Cohort","cohort_size.cohort","False","Cohort Cohort","Cohort","Use in conjuction with the Cohort Picker","${TABLE}.cohort ","string","None","98_cohort_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","cohorts","Cohort Data Tool","cohort_size","Cohort","cohort_size.format_symbol","True","Cohort Format Symbol","Format Symbol","None","CASE          WHEN ${metric_name} = 'User Retention' THEN '%'          WHEN ${metric_name} = 'Average Spend per User' THEN '$'          WHEN ${metric_name} = 'Cumulative Spend' THEN '$'        END ","string","None","98_cohort_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","cohorts","Cohort Data Tool","cohort_size","Cohort","cohort_size.metric_name","True","Cohort Metric Name","Metric Name","None","CASE          WHEN {% parameter metric_filter %} = 'User Retention' THEN 'User Retention'          WHEN {% parameter metric_filter %} = 'Average Orders per User' THEN 'Average Orders per User'          WHEN {% parameter metric_filter %} = 'Average Spend per User' THEN 'Average Spend per User'          WHEN {% parameter metric_filter %} = 'Cumulative Spend' THEN 'Cumulative Spend'          ELSE NULL        END ","string","None","98_cohort_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","cohorts","Cohort Data Tool","order_items","Order Items","order_items.created_date","False","Order Items Created Date","Created Date","None","${TABLE}.created_at ","date_date","None","98_cohort_data_tool.view.lkml"
"snowlooker","dimensions","thelook_events","thelook","cohorts","Cohort Data Tool","order_items","Order Items","order_items.id","False","Order Items ID","ID","None","${TABLE}.id ","number","None","98_cohort_data_tool.view.lkml"
